Tract ID,e(0)
25009265101,84.5
25009265102,79.5
25009266100,83.5
25009266200,76.7
25009266300,80.1
25009266400,80.9
25009267101,76.2
25009267102,81.2
25009268100,79.4
25009268200,80
25009268300,82
25009268400,81.1
25009269100,82.4
25009270100,81.7
25011040100,84
25011040200,81.1
25011040300,81.5
25011040400,81.6
25011040501,76.9
25011040502,78.2
25011040600,86.6
25011040701,78.7
25011040702,83.4
25011040800,84.7
25011040900,82.3
25011041000,79.2
25011041100,80.4
25011041200,79.6
25011041300,76.1
25011041400,73.1
25011041501,85.5
25011041502,82.9
25013800101,74.4
25013800102,75.5
25013800201,77.7
25013800202,74
25013800300,75.9
25013800400,74.9
25013800500,78.5
25013800600,76.6
25013800700,75.6
25013800800,76.4
25013800900,75.5
25013801101,70.3
25013801102,76.8
25013801200,75.7
25013801300,76.2
25013801401,73.9
25013801402,73.9
25013801501,76.5
25013801502,79.2
25013801503,77.5
25013801601,78.5
25013801602,77.6
25013801603,77.5
25013801604,81.1
25013801605,77.7
25013801700,75.6
25013801800,76.2
25013801901,75.6
25013801902,75
25013802000,76.3
25013802100,79.7
25013802200,74.5
25013802300,75.8
25013802400,80.9
25013802500,80.3
25013802601,79.1
25013802602,81.2
25013810100,76.6
25013810200,81
25013810300,78.9
25013810403,78.3
25013810404,81.9
25013810412,83
25013810414,83.8
25013810601,78.3
25013810602,79.7
25013810700,79
25013810800,79
25013810901,71.8
25013810902,81
25013811000,80.3
25013811101,74.9
25013811102,77.2
25013811200,79.9
25013811301,78.8
25013811302,78.6
25013811400,79.8
25013811600,76.9
25013811700,78.5
25013811800,76.8
25013811900,81.1
25013812001,76.1
25013812002,74.1
25013812101,80.5
25013812103,77.6
25013812104,77.6
25013812201,78
25013812202,76.3
25013812300,78.4
25013812401,84.6
25013812403,79.7
25013812404,77.8
25013812500,80.7
25013812600,80.5
25013812701,79.7
25013812702,73.7
25013812800,78.9
25013812901,82
25013812902,80.2
25013813000,82
25013813101,83.3
25013813102,81.1
25013813204,80.5
25013813205,80.3
25013813206,80.7
25013813207,75.7
25013813208,80.4
25013813209,79.9
25013813301,84.6
25013813303,84.3
25013813304,83.7
25013813401,81
25013813403,79.9
25013813404,81.5
25013813500,81
25013813601,82.7
25013813602,82.5
25013813701,77.7
25013813702,84.2
25013813801,82.3
25013813802,81.3
25015820101,79
25015820102,75.4
25015820202,81.8
25015820203,81.4
25015820204,81.6
25015820300,82.1
25015820700,87.4
25015820801,83.5
25015820900,82.7
25015821000,80.8
25015821100,79.9
25015821300,83.5
25015821400,83.7
25015821500,79
25015821601,77.5
25015821602,76.6
25015821700,80.7
25015821901,84.5
25015821903,79.3
25015821904,81.5
25015822200,81.2
25015822401,82.1
25015822402,79.8
25015822500,82.1
25015822601,77.2
25015822603,83.5
25015822605,81.5
25015822606,86.3
25015822700,91.4
25017300100,80.2
25017301101,81.4
25017301102,79.1
25017310100,74.3
25017310200,78.2
25017310300,76
25017310400,76.9
25017310500,79.4
25017310601,79.4
25017310602,75.5
25017310700,76.2
25017311200,75.3
25017311300,77.3
25017311400,80.8
25017311500,80.8
25017311600,80.3
25017311700,78.8
25017311800,74.5
25017311900,73.6
25017312000,76.4
25017312100,77.6
25017312200,77.4
25017312300,79.2
25017312400,74.7
25017312501,78.7
25017312502,81.5
25017313101,83.4
25017313102,77.8
25017314101,78.6
25017314102,79.6
25017314200,78.1
25017314301,80.6
25017314302,80.5
25017315100,81.6
25017315200,79.8
25017315401,78.8
25017315402,80.6
25017315403,77.6
25017315500,81
25017316101,79
25017316102,84.8
25017316201,78.9
25017316202,82
25017316300,80.7
25017316400,80.6
25017316500,82.7
25017317101,79.4
25017317102,77
25017317103,81.1
25017317201,84.1
25017317203,80.2
25017317301,80.5
25017317302,85.6
25017318100,87
25017318200,79.9
25017318400,79.6
25017320102,80.3
25017320103,83.7
25017320104,85.7
25017321100,80.7
25017321200,83.6
25017321300,78.5
25017321400,77.1
25017321500,78.8
25017321600,82
25017322100,83.5
25017322200,86.8
25017322300,81.3
25017322400,79.5
25017323100,86.8
25017324101,88.9
25017324102,87.9
25017325100,79.7
25017326101,79.8
25017326102,86.7
25017327101,80.9
25017327102,81.5
25017327103,80.7
25017328100,82.4
25017330100,83.2
25017330200,81.1
25017331101,80.8
25017331102,81.4
25017331200,79.6
25017331300,83.7
25017332100,81.3
25017332200,80.9
25017332300,81.6
25017332400,81.6
25017333100,82
25017333200,82.8
25017333300,80.3
25017333400,77.7
25017333501,82.7
25017333502,78.9
25017333600,79
25017334100,82.7
25017334200,82.5
25017334300,85.2
25017334400,82.4
25017335100,79.9
25017335200,81.1
25017335301,80.3
25017335302,80.9
25017335400,79.7
25017336100,81.4
